1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,HouseAge,RemodAge,GarageAge,SalePrice
1048,0.0,3.0,0,0,0,0,0.0,420,1,1048,2,7200,60.0,0.0,27,5,5,0,0.0,60,60,60.0,98300
886,0.0,2.0,1,0,1,190,0.0,273,1,886,2,5784,50.0,0.0,20,8,5,190,0.0,72,14,72.0,91300
943,0.0,2.0,4,943,6,0,0.0,600,1,943,2,7032,69.0,0.0,0,5,5,943,0.0,31,31,31.0,135960
866,902.0,3.0,1,400,6,466,0.0,603,2,1768,3,9803,75.0,0.0,108,5,7,866,0.0,5,5,5.0,226700
1422,1177.0,4.0,1,0,1,1393,0.0,779,3,2599,3,14774,108.0,165.0,30,5,9,1393,0.0,11,11,11.0,333168
912,0.0,2.0,1,456,3,456,0.0,275,2,912,2,10150,70.0,1.0,0,5,5,912,0.0,52,52,52.0,114500
882,0.0,2.0,0,0,0,0,0.0,308,1,882,2,12702,70.0,0.0,45,5,5,0,0.0,54,54,54.0,97000
1337,0.0,2.0,1,266,6,1139,0.0,511,3,1337,3,4060,34.0,0.0,68,5,6,1405,0.0,12,11,12.0,181000
2076,0.0,2.0,4,1386,6,690,0.0,850,1,2076,4,13891,107.0,0.0,229,5,10,2076,0.0,4,4,4.0,465000
1328,1203.0,4.0,3,56,2,1198,0.0,752,2,2531,3,12257,65.0,513.0,98,5,8,1318,0.0,15,15,15.0,290000
981,787.0,3.0,1,569,5,162,0.0,240,1,1768,3,7200,60.0,252.0,0,7,5,731,0.0,73,60,71.0,175000
1625,0.0,2.0,4,1573,1,0,0.0,538,1,1625,3,4750,44.0,481.0,0,5,8,1573,0.0,4,3,4.0,235000
1444,700.0,4.0,4,697,3,747,0.0,389,3,2144,3,159000,69.0,472.0,98,7,6,1444,0.0,52,4,52.0,277000
1521,0.0,3.0,1,0,1,1237,0.0,880,1,2775,3,13500,75.0,0.0,502,9,10,1237,0.0,117,10,22.0,325000
1140,728.0,3.0,1,0,1,585,0.0,477,3,1868,2,12090,78.0,74.0,112,7,6,585,0.0,26,7,26.0,178000
1525,0.0,3.0,3,1400,6,125,0.0,541,2,1525,3,9100,70.0,244.0,36,5,7,1525,0.0,10,10,10.0,235000
1571,0.0,3.0,4,0,1,1571,0.0,722,3,1571,3,10991,89.0,80.0,36,5,8,1571,0.0,3,3,3.0,239000
796,0.0,2.0,1,0,1,796,0.0,0,0,796,2,8777,67.0,0.0,0,7,5,796,328.0,100,60,0.0,85000
1378,994.0,4.0,1,0,1,994,0.0,432,2,2372,2,6600,60.0,0.0,287,4,5,994,0.0,118,45,25.0,107500
802,670.0,3.0,1,0,1,384,0.0,402,2,1472,3,10784,69.0,76.0,0,5,7,384,0.0,19,18,19.0,160000
960,0.0,0.0,3,648,6,0,0.0,364,1,960,2,10246,69.0,0.0,0,9,4,648,0.0,45,9,45.0,145000
734,1104.0,4.0,3,0,1,732,0.0,372,3,1838,2,21930,60.0,0.0,40,5,5,732,0.0,5,5,5.0,192140
1309,0.0,3.0,1,663,5,0,0.0,484,2,1309,3,10140,78.0,99.0,0,6,6,1040,0.0,36,11,36.0,181000
2069,574.0,3.0,3,0,1,2153,0.0,694,3,2643,4,13693,105.0,772.0,84,5,9,2153,0.0,4,4,4.0,380000
676,455.0,3.0,1,0,1,676,0.0,200,1,1131,2,5720,52.0,0.0,0,6,5,676,0.0,69,60,69.0,66500
960,1000.0,4.0,1,0,1,960,0.0,400,1,1960,2,7596,60.0,360.0,0,5,5,960,0.0,58,58,58.0,124500
1144,0.0,3.0,1,25,4,247,0.0,336,1,1144,2,9204,71.0,0.0,88,5,5,1144,0.0,47,47,48.0,124000
1056,0.0,0.0,1,1056,6,0,0.0,576,1,1056,2,6979,64.0,0.0,56,5,6,1056,0.0,30,30,30.0,144000
693,0.0,2.0,1,0,1,693,0.0,0,0,693,1,4118,153.0,0.0,20,4,4,693,0.0,69,60,0.0,52500
1494,0.0,3.0,4,1200,6,279,0.0,576,2,1494,3,9236,79.0,0.0,27,5,6,1479,0.0,13,13,13.0,217000
1646,0.0,2.0,4,1373,6,221,0.0,482,3,1646,3,3842,44.0,174.0,53,5,8,1594,0.0,6,5,6.0,275000
864,0.0,3.0,3,390,5,474,0.0,352,1,864,2,7180,60.0,0.0,0,7,5,864,0.0,38,38,21.0,127000
1566,0.0,3.0,3,1078,6,488,0.0,750,2,1566,3,9000,75.0,36.0,168,5,8,1566,0.0,2,2,2.0,262500
735,660.0,3.0,1,593,4,130,0.0,497,1,1395,2,12936,69.0,0.0,116,6,6,723,0.0,38,38,38.0,162000
848,0.0,2.0,1,152,4,628,0.0,539,1,1208,2,6240,52.0,0.0,23,5,4,780,0.0,85,60,48.0,103000
939,574.0,4.0,2,0,1,939,0.0,180,1,1513,2,6120,51.0,0.0,0,8,5,939,24.0,90,6,77.0,137500
959,408.0,3.0,1,425,2,459,0.0,560,1,1367,2,6240,52.0,0.0,0,6,6,884,0.0,79,60,32.0,127500
955,0.0,3.0,1,763,4,192,0.0,386,1,955,2,7742,66.0,0.0,0,7,5,955,0.0,44,44,44.0,127000
1077,0.0,3.0,1,0,1,1007,0.0,210,1,1077,2,9786,60.0,0.0,100,4,3,1007,0.0,88,60,88.0,91000
1056,0.0,3.0,2,1056,3,0,0.0,572,3,1056,2,34650,100.0,0.0,0,5,5,1056,0.0,55,55,55.0,145000
756,797.0,3.0,1,0,1,756,0.0,615,2,1553,3,8125,65.0,0.0,45,5,7,756,0.0,5,4,5.0,186500
1614,0.0,3.0,3,20,6,1594,0.0,865,2,1614,3,11210,86.0,240.0,59,5,7,1614,0.0,5,4,5.0,221500
2042,0.0,3.0,1,0,1,2042,0.0,1390,2,2042,4,12704,98.0,306.0,90,5,8,2042,0.0,2,1,1.0,253293
1073,0.0,2.0,1,0,1,1073,0.0,326,1,1073,2,5400,60.0,0.0,0,6,5,1073,0.0,89,42,42.0,108480
1072,213.0,2.0,1,336,4,295,0.0,240,1,1285,2,8635,50.0,0.0,0,5,5,672,0.0,62,9,62.0,127000
2117,0.0,4.0,2,865,4,340,0.0,550,3,2117,2,12925,69.0,0.0,42,7,6,1205,0.0,40,40,40.0,237500
605,0.0,2.0,2,348,1,180,0.0,0,0,605,2,9098,58.0,0.0,0,7,4,528,0.0,90,8,0.0,86000
1150,0.0,3.0,1,179,5,465,0.0,300,2,1150,2,7945,70.0,0.0,0,6,5,1150,0.0,51,51,51.0,141000
728,728.0,3.0,1,0,1,728,0.0,400,1,1456,3,8029,51.0,0.0,24,5,6,728,100.0,5,5,5.0,176000
999,0.0,3.0,3,867,5,77,0.0,588,2,999,4,12122,69.0,210.0,76,9,7,944,0.0,49,3,49.0,178400
750,750.0,3.0,1,0,1,750,0.0,564,2,1500,3,8846,68.0,0.0,35,5,6,750,0.0,5,4,5.0,173900
1336,0.0,2.0,2,841,4,324,0.0,375,1,1336,2,15750,90.0,56.0,0,5,5,1165,0.0,57,57,57.0,157000
864,729.0,3.0,1,759,6,80,0.0,398,1,1593,2,7415,62.0,0.0,75,5,6,839,0.0,6,6,6.0,193000
1130,1054.0,3.0,3,936,6,168,0.0,836,3,2184,4,11308,96.0,154.0,102,5,9,1104,0.0,2,2,2.0,335000
1560,0.0,3.0,1,0,1,1560,0.0,573,3,1560,3,9196,129.0,0.0,150,5,7,1560,0.0,7,7,7.0,201000
888,0.0,3.0,1,386,2,342,0.0,312,1,1644,3,9480,79.0,224.0,0,7,5,728,0.0,68,15,68.0,146500
630,0.0,3.0,3,515,6,115,0.0,286,1,630,3,1526,21.0,0.0,0,8,4,630,0.0,40,8,40.0,86000
1113,0.0,3.0,1,751,4,392,0.0,504,2,1113,2,7917,69.0,174.0,30,7,6,1143,0.0,34,34,23.0,148000
1071,1101.0,3.0,1,0,1,1063,0.0,947,2,2172,3,14154,109.0,350.0,62,5,7,1063,0.0,4,4,4.0,280000
796,550.0,2.0,1,0,1,560,0.0,384,1,1346,2,11767,70.0,0.0,24,7,4,560,0.0,100,10,60.0,112000
1184,1426.0,4.0,3,64,6,1120,0.0,550,3,2610,4,9000,75.0,0.0,364,5,8,1184,0.0,3,3,3.0,303477
1026,932.0,3.0,1,0,1,1026,0.0,936,3,1958,3,10625,85.0,0.0,210,5,7,1026,0.0,5,5,5.0,250000
1468,0.0,3.0,1,0,1,1468,0.0,898,3,1468,3,9612,74.0,72.0,150,5,8,1468,0.0,2,1,2.0,244600
1302,432.0,4.0,0,0,0,0,0.0,539,1,1734,3,10125,75.0,0.0,0,5,5,0,0.0,33,33,33.0,126000
768,432.0,3.0,1,352,4,416,0.0,240,1,1200,2,11767,70.0,0.0,0,6,5,768,0.0,64,15,64.0,130500
1112,438.0,2.0,1,812,6,280,0.0,438,3,1550,3,8125,65.0,100.0,168,5,7,1092,0.0,4,3,3.0,241000
954,795.0,5.0,1,0,1,795,0.0,440,1,2230,2,6204,60.0,0.0,188,5,4,795,0.0,98,60,13.0,118500
1166,0.0,3.0,1,0,1,1064,0.0,240,1,1639,2,10480,51.0,0.0,0,5,6,1064,0.0,74,60,74.0,115000
864,0.0,3.0,1,521,4,169,0.0,624,1,864,2,9100,70.0,0.0,0,5,5,864,0.0,52,52,46.0,129900
1621,0.0,3.0,2,213,5,995,0.0,440,1,1621,3,14145,91.0,0.0,45,7,7,1208,0.0,26,12,26.0,202500
483,504.0,3.0,1,162,5,321,0.0,264,1,987,3,1680,21.0,510.0,0,8,6,483,0.0,38,3,38.0,118000
1238,1281.0,4.0,4,965,6,245,0.0,628,2,2519,3,26178,42.0,293.0,27,5,7,1210,0.0,21,20,21.0,335000
765,600.0,3.0,1,765,2,0,0.0,440,1,1365,2,2368,24.0,312.0,36,6,5,765,0.0,40,40,40.0,125000
1149,1141.0,4.0,2,0,1,1128,0.0,779,1,2290,3,11250,69.0,0.0,0,5,8,1128,0.0,8,8,8.0,255900
1249,1347.0,4.0,3,0,1,1249,0.0,840,2,2596,3,16259,111.0,370.0,154,5,9,1249,0.0,4,4,4.0,342643
907,0.0,3.0,1,288,3,619,0.0,352,1,907,2,8593,77.0,0.0,0,6,4,907,0.0,53,53,46.0,109008
855,0.0,3.0,1,566,5,289,0.0,440,1,1456,2,2280,24.0,0.0,0,6,6,855,0.0,34,34,34.0,148500
1190,0.0,3.0,3,803,5,303,0.0,540,1,1190,2,7728,70.0,120.0,18,6,5,1106,0.0,48,48,48.0,132500
858,0.0,2.0,1,322,5,536,0.0,684,1,858,2,7340,69.0,0.0,0,6,4,858,0.0,39,39,31.0,110000
2223,0.0,3.0,4,1880,5,343,0.0,516,3,2223,2,13651,95.0,1115.0,0,6,7,2223,300.0,37,37,37.0,244000
1005,0.0,2.0,1,0,1,1005,0.0,672,1,1005,1,10434,60.0,0.0,0,5,4,1005,0.0,55,55,33.0,115000
1086,809.0,3.0,1,0,1,712,0.0,409,3,1895,3,10832,69.0,0.0,46,5,7,712,0.0,16,14,16.0,194500
1040,0.0,3.0,1,906,3,134,0.0,384,1,1040,2,11200,70.0,0.0,0,5,5,1040,0.0,45,45,45.0,129500
1264,0.0,3.0,1,697,3,571,0.0,461,1,1264,2,9300,73.0,324.0,0,5,5,1268,0.0,50,50,50.0,167500
874,887.0,3.0,1,0,1,874,0.0,578,3,1761,3,10207,84.0,0.0,105,6,7,874,0.0,3,3,3.0,227875
1034,0.0,3.0,3,539,6,473,0.0,888,1,1034,2,12328,69.0,335.0,0,5,6,1012,0.0,34,34,34.0,169900
1363,0.0,2.0,4,226,2,96,0.0,439,1,1363,2,39104,73.0,0.0,0,7,7,1385,0.0,56,5,56.0,241500
1689,0.0,3.0,1,0,1,1436,0.0,480,1,1689,2,9855,73.0,0.0,0,5,6,1436,0.0,54,54,54.0,127500
2113,0.0,2.0,4,1696,6,413,0.0,839,3,2113,3,10437,91.0,660.0,46,6,8,2109,0.0,15,15,15.0,350000
1573,0.0,3.0,1,788,6,785,0.0,544,2,1573,3,9808,67.0,110.0,72,5,7,1573,0.0,8,8,8.0,227000
2364,0.0,3.0,4,2188,6,142,0.0,820,3,2364,4,12919,100.0,760.0,67,5,9,2330,0.0,1,0,1.0,611657
1057,977.0,3.0,1,739,6,318,0.0,645,2,2034,3,9375,69.0,573.0,36,5,7,1057,0.0,13,12,12.0,219500
1291,0.0,2.0,2,1003,6,288,0.0,431,1,1291,3,2887,69.0,0.0,0,5,6,1291,307.0,14,13,14.0,173000
858,0.0,2.0,4,696,4,162,0.0,0,0,858,2,7207,50.0,0.0,0,7,5,858,117.0,52,2,0.0,116500
698,560.0,2.0,2,204,3,356,0.0,280,1,1258,2,9060,60.0,0.0,0,5,6,560,0.0,71,60,71.0,105000
438,0.0,1.0,1,290,3,0,0.0,246,1,438,1,8400,60.0,0.0,0,5,2,290,0.0,90,60,80.0,60000
672,728.0,3.0,1,209,5,463,0.0,440,3,1400,2,7844,74.0,203.0,0,7,6,672,0.0,32,32,32.0,149500
954,0.0,2.0,1,0,1,920,0.0,240,1,954,1,6305,50.0,0.0,0,7,5,920,0.0,72,60,72.0,119750
1445,0.0,3.0,4,564,1,563,0.0,645,2,1445,2,12095,69.0,115.0,0,6,6,1127,0.0,46,46,46.0,158000
1072,0.0,2.0,4,459,1,88,0.0,525,1,1072,2,3675,35.0,80.0,28,5,6,547,0.0,5,5,5.0,148000
1664,0.0,4.0,0,0,0,0,0.0,0,0,1664,2,9825,75.0,0.0,0,5,5,0,0.0,45,45,0.0,100000
1445,689.0,5.0,1,0,1,844,268.0,441,1,2134,3,11888,69.0,0.0,60,6,6,844,0.0,94,16,80.0,214500
1940,1254.0,4.0,2,428,4,537,0.0,380,1,3194,2,12168,78.0,0.0,0,6,8,965,0.0,76,12,76.0,359100
912,912.0,4.0,3,0,1,912,0.0,0,0,1824,2,9400,94.0,0.0,0,5,6,912,0.0,39,39,0.0,139000
888,868.0,3.0,1,742,5,130,0.0,422,3,1756,2,9303,69.0,42.0,122,5,6,872,0.0,14,13,14.0,204000
912,0.0,2.0,1,595,5,317,0.0,576,1,912,3,8872,72.0,300.0,240,8,5,912,0.0,45,2,18.0,147000
1509,0.0,3.0,3,783,6,678,0.0,600,2,1509,3,10200,85.0,219.0,0,5,6,1461,0.0,22,21,22.0,175000
1160,448.0,3.0,1,264,4,712,0.0,216,1,1608,3,6171,51.0,0.0,16,6,6,976,147.0,85,20,85.0,137450
1316,0.0,3.0,1,28,6,1288,0.0,397,3,1316,3,10237,65.0,0.0,0,5,6,1316,0.0,5,4,5.0,169990
1015,0.0,3.0,1,489,3,279,0.0,450,1,1015,2,6120,51.0,0.0,0,7,5,768,0.0,85,60,85.0,88000
756,378.0,3.0,1,312,5,444,0.0,240,1,1134,2,8160,60.0,0.0,0,6,5,756,0.0,70,60,70.0,126000
1636,0.0,3.0,1,63,6,1560,0.0,865,2,1636,3,13501,116.0,208.0,60,5,8,1623,0.0,4,4,4.0,255000
660,660.0,3.0,1,0,1,660,0.0,400,3,1320,3,7750,69.0,0.0,48,5,7,660,0.0,7,7,7.0,162000
1160,966.0,3.0,4,249,2,0,0.0,538,3,2126,2,28698,69.0,0.0,0,5,5,1013,0.0,43,43,43.0,185000
1128,0.0,3.0,2,776,5,344,0.0,525,2,1128,2,8700,80.0,148.0,20,6,5,1120,0.0,47,47,47.0,155000
1306,0.0,2.0,2,860,4,132,0.0,756,1,1306,2,8712,64.0,0.0,0,7,5,992,0.0,53,10,42.0,153000
798,546.0,3.0,1,0,1,546,0.0,0,0,1344,2,1533,21.0,0.0,0,6,4,546,0.0,40,2,0.0,97000
1576,978.0,3.0,1,0,1,718,0.0,704,1,2554,2,10800,60.0,0.0,48,8,7,718,0.0,120,12,14.0,159500
893,0.0,2.0,1,220,5,625,0.0,576,1,893,3,9600,60.0,0.0,0,7,5,845,0.0,61,7,25.0,135000
894,1039.0,4.0,2,0,1,894,0.0,668,3,1933,3,14598,86.0,74.0,18,5,6,894,0.0,3,3,3.0,214000
672,546.0,3.0,1,356,4,316,0.0,264,1,1218,2,1890,21.0,285.0,28,5,6,672,0.0,37,37,37.0,113000
1161,808.0,3.0,1,0,1,808,0.0,534,2,1969,2,11952,92.0,0.0,0,6,7,808,0.0,33,33,33.0,190000
1220,870.0,3.0,1,1079,6,141,0.0,556,2,2090,3,10000,80.0,438.0,65,5,8,1220,0.0,15,14,15.0,240000
1484,0.0,3.0,3,998,5,486,0.0,487,1,1484,2,12243,70.0,0.0,0,6,5,1484,0.0,39,39,39.0,175000
1656,0.0,4.0,1,0,1,1656,0.0,506,1,1656,2,9246,87.0,564.0,211,5,5,1656,0.0,37,37,37.0,135000
818,406.0,3.0,1,468,3,350,0.0,210,1,1224,2,3950,69.0,0.0,0,8,6,818,0.0,84,6,84.0,115000
1022,1032.0,3.0,1,695,6,297,0.0,390,2,2054,3,12224,69.0,40.0,48,5,6,992,0.0,10,10,10.0,244000
854,0.0,2.0,1,0,1,832,0.0,576,1,854,2,6120,51.0,0.0,112,8,7,832,0.0,81,9,19.0,132000
546,546.0,3.0,1,334,4,212,0.0,286,2,1092,2,1974,69.0,0.0,96,5,4,546,0.0,37,37,37.0,83500
1268,0.0,3.0,3,196,5,1072,0.0,252,1,1268,3,9286,69.0,0.0,0,7,5,1268,0.0,33,21,32.0,143500
827,834.0,3.0,3,385,6,70,0.0,550,2,1661,3,10667,43.0,0.0,61,6,7,799,0.0,14,14,14.0,212000
1668,0.0,3.0,3,370,4,315,0.0,502,3,1668,3,10635,48.0,171.0,262,5,8,1657,0.0,7,7,7.0,232000
1493,0.0,3.0,4,994,6,484,0.0,508,3,1493,3,13125,75.0,215.0,39,5,6,1478,0.0,13,12,13.0,208900
932,0.0,2.0,1,0,1,932,0.0,306,1,932,3,8280,57.0,0.0,0,5,6,932,0.0,60,60,60.0,124000
1277,0.0,2.0,4,778,6,499,0.0,526,1,1277,2,10628,85.0,0.0,0,5,7,1277,0.0,40,40,40.0,167000
1530,0.0,3.0,3,1300,6,230,0.0,630,3,1530,3,14572,182.0,0.0,36,5,7,1530,144.0,6,6,6.0,259000
1344,0.0,2.0,1,457,5,193,0.0,484,1,1344,2,9503,69.0,0.0,28,5,5,1024,0.0,52,27,40.0,144000
860,0.0,2.0,3,672,5,168,0.0,528,1,860,2,8740,74.0,0.0,0,6,5,840,0.0,28,28,14.0,137000
1314,0.0,2.0,1,904,6,410,0.0,626,1,1314,3,5001,34.0,166.0,62,5,7,1314,0.0,3,2,2.0,230000
1391,571.0,3.0,2,464,6,927,0.0,868,2,1962,3,8760,73.0,0.0,90,5,7,1391,0.0,4,4,4.0,239799
788,702.0,3.0,3,724,6,64,0.0,388,3,1490,3,15384,60.0,0.0,75,5,7,788,0.0,6,5,6.0,184000
848,0.0,1.0,3,662,6,186,0.0,420,1,848,3,4426,69.0,169.0,0,5,6,848,0.0,6,6,6.0,143000
672,0.0,2.0,1,0,1,672,0.0,240,1,672,2,10200,60.0,0.0,0,8,5,672,0.0,70,13,70.0,108000
1188,1152.0,4.0,1,275,6,877,0.0,252,2,2340,3,9042,66.0,0.0,60,9,7,1152,0.0,69,4,69.0,266500
808,704.0,3.0,1,0,1,660,0.0,180,1,1656,2,10410,60.0,0.0,0,7,5,660,0.0,94,23,94.0,135000
725,754.0,4.0,1,626,5,99,0.0,484,3,1479,3,7472,69.0,138.0,32,9,7,725,0.0,38,6,38.0,184000
1226,0.0,3.0,1,0,1,1226,0.0,740,2,1226,3,10402,94.0,0.0,36,5,7,1226,0.0,1,1,1.0,198900
976,1111.0,5.0,4,568,2,264,0.0,444,3,2087,3,12205,69.0,157.0,168,8,6,832,0.0,44,3,44.0,187500
1158,0.0,3.0,1,941,5,217,0.0,576,1,1158,3,13072,63.0,0.0,50,5,6,1158,0.0,6,6,4.0,158000
1154,0.0,3.0,2,740,4,184,0.0,480,2,1154,2,11000,69.0,200.0,58,6,5,1154,0.0,44,44,44.0,154000
